frame_id,x,y,neighbour_size
0,629.216,179.609,11.4444
0,675.621,179.7,13.5095
0,610.193,180.043,12.5342
0,621.292,179.77,10.5
0,632.535,179.961,11.7761
0,587.074,180.969,11.25
0,612.31,181.586,8.4
0,627.59,180.86,11.4375
0,600.007,181.952,11.9589
0,609.841,182.074,12.95
0,616.135,182.142,12.5876
0,617.515,182.857,17.1176
0,624.023,182.174,11.8605
0,634.914,181.784,12.4737
0,666.239,181.99,13.8649
0,552,183.356,15
0,559.534,182.949,12.6585
0,553,183.015,12.36
0,671.123,184.24,12.8736
0,701.394,183.004,11.6494
0,708.389,184.242,11.8479
0,558.274,185.165,13.3516
0,617.965,184.63,13.623
0,620.896,185.049,8.4
0,624.024,184.807,12.1429
0,713.305,184.995,11.9318
0,633.186,185.994,11.7895
0,667.74,185.284,12.8095
0,590.801,186.981,10.8837
0,593.012,187.209,11.6038
0,636.212,186.555,13.5078
0,692.839,186.884,9.25862
0,701.058,187.87,11.1829
0,707.492,186.707,13.3066
0,542.413,188.32,11.381
0,545.633,189,11.8516
0,548.858,188.596,10
0,630.819,187.802,13.3269
0,661.945,188.16,11.1972
0,688.691,188.418,10.25
0,536.212,188.58,13.125
0,539.125,189.448,11.625
0,552.07,188,12.9802
0,632,188,12
0,656.975,189.368,14.6327
0,669.825,188.981,12.2609
0,557.141,189.75,13.0714
0,593.227,189.508,11.8909
0,618.893,190.101,11.0276
0,624.09,189.929,11.1
0,666.803,190.031,11.2975
0,585.553,191.258,10.0189
0,657.101,191.192,14.4247
0,695.864,191.046,11.1562
0,621.322,191.806,11.5704
0,703.547,192.147,11.1342
0,539.503,192.771,14.85
0,663.487,192.785,10.7647
0,670.944,192.729,11.4706
0,700.182,193.928,13.5085
0,581.782,193.809,11.3429
0,587.646,194.344,14.2727
0,696.409,193.604,13.7368
0,535.411,194.55,8.4
0,577.376,194.463,9.375
0,687.607,195.446,14.7636
0,669.597,196.125,14.2249
0,539.187,197.174,12.7297
0,667.254,197.198,14.8333
0,692.342,197.122,11.4
0,690,198.599,13.1471
0,538.03,199.626,11.5455
0,608.447,200.078,12.1731
0,633.272,199.84,13.6988
0,666.752,199.749,12.2069
0,696.613,200.423,11.7857
0,670.034,201.018,12.8
0,682.081,200.891,11.2703
0,613.61,202.149,11.2609
0,620.285,202.216,10.0909
0,640.909,202.153,12
0,658.483,203.449,13
0,659.732,204.012,13.5517
0,671.116,203.116,11.2759
0,673.179,206.164,11.3684
0,676.201,205.992,12.566
0,690.568,205.765,12.5714
0,535.918,207.939,12.8028
0,684.417,208.461,13.9044
0,692.017,208.309,11.2759
0,677.575,208.233,13.299
0,684.854,210.989,12.4639
0,540.801,212.342,14.4286
0,538,212.498,10.5333
0,678.952,212.731,11.16
0,535.377,215.25,12.6505
0,558.932,216.278,13.0913
0,561.837,216.293,11.6038
0,681.367,216.039,13.4069
0,703.904,218.193,11.3684
0,685.122,218.802,11.5932
0,612,220.213,11.8814
0,638.234,220.86,13.26
0,662.161,221.128,13.031
0,663.745,221.038,12.8961
0,583.755,221.653,10.7419
0,633.394,221.465,13.0263
0,673.903,224.145,10.875
0,673.762,226.378,13.4575
0,663.13,227.041,11.4783
0,692.626,233.172,13.3661
0,550.167,234.658,12.541
0,554.466,234.969,12.2571
0,545.948,238.975,11.495
0,559.938,241.502,14.6429
