frame_id,x,y,neighbour_size
0,610,180,7
0,621,180,7
0,633,180,7
0,699,180,7
0,587,181,7
0,613,181,7
0,627,181,7
0,600,182,7
0,610,182,7
0,616,182,7
0,618,182,7
0,624,182,7
0,635,182,7
0,666,182,7
0,551,183,7
0,560,183,7
0,554,184,7
0,671,184,7
0,697,184,7
0,709,184,7
0,558,185,7
0,618,185,7
0,621,185,7
0,624,185,7
0,713,185,7
0,633,186,7
0,668,186,7
0,591,187,7
0,593,187,7
0,637,187,7
0,672,187,7
0,693,187,7
0,701,187,7
0,708,187,7
0,542,188,7
0,546,188,7
0,549,188,7
0,631,188,7
0,662,188,7
0,689,188,7
0,536,189,7
0,540,189,7
0,553,189,7
0,633,189,7
0,657,189,7
0,670,189,7
0,557,190,7
0,593,190,7
0,619,190,7
0,624,190,7
0,667,190,7
0,586,191,7
0,658,191,7
0,695,191,7
0,617,192,7
0,621,192,7
0,697,192,7
0,704,192,7
0,539,193,7
0,664,193,7
0,671,193,7
0,701,193,7
0,582,194,7
0,587,194,7
0,696,194,7
0,535,195,7
0,577,195,7
0,687,195,7
0,689,195,7
0,666,197,7
0,540,198,7
0,577,198,7
0,668,198,7
0,693,198,7
0,689,199,7
0,538,200,7
0,608,200,7
0,633,200,7
0,667,200,7
0,697,200,7
0,670,201,7
0,682,201,7
0,620,202,7
0,641,202,7
0,658,203,7
0,660,204,7
0,672,204,7
0,673,206,7
0,676,206,7
0,691,206,7
0,536,208,7
0,685,208,7
0,692,208,7
0,680,210,7
0,685,211,7
0,540,212,7
0,565,212,7
0,537,213,7
0,679,213,7
0,564,214,7
0,535,215,7
0,559,216,7
0,562,216,7
0,682,216,7
0,704,218,7
0,685,219,7
0,611,220,7
0,639,221,7
0,662,221,7
0,664,221,7
0,583,222,7
0,634,222,7
0,674,224,7
0,673,226,7
0,557,227,7
0,663,227,7
0,693,233,7
0,550,235,7
0,554,235,7
0,546,239,7
0,681,240,7
0,560,241,7
0,563,241,7
0,678,241,7
0,684,241,7
0,544,242,7
0,622,243,7
0,685,244,7
0,703,244,7
0,707,244,7
0,558,245,7
0,566,245,7
0,572,245,7
0,677,245,7
0,681,246,7
0,552,249,7
0,535,250,7
0,555,251,7
0,567,252,7
0,607,252,7
0,693,252,7
0,697,252,7
0,535,257,7
0,692,266,7
0,550,284,7
0,543,294,7
0,539,297,7
0,706,300,7
0,693,314,7
1,610,180,7
1,616,180,7
1,619,180,7
1,625,180,7
1,629,180,7
1,632,180,7
1,606,181,7
1,613,181,7
1,622,181,7
1,627,181,7
1,699,181,7
1,600,182,7
1,610,182,7
1,616,182,7
1,619,182,7
1,635,182,7
1,659,182,7
1,597,183,7
1,613,183,7
1,625,183,7
1,545,184,7
1,672,184,7
1,700,184,7
1,703,184,7
1,710,184,7
1,550,185,7
1,616,185,7
1,619,185,7
1,622,185,7
1,625,185,7
1,663,185,7
1,633,186,7
1,667,186,7
1,593,187,7
1,595,187,7
1,631,187,7
1,637,187,7
1,672,187,7
1,693,187,7
1,697,187,7
1,708,187,7
1,590,188,7
1,701,188,7
1,535,189,7
1,544,189,7
1,547,189,7
1,588,189,7
1,667,189,7
1,696,189,7
1,593,190,7
1,619,190,7
1,625,190,7
1,658,190,7
1,660,190,7
1,584,191,7
1,586,191,7
1,590,191,7
1,696,191,7
1,538,192,7
1,622,192,7
1,705,192,7
1,659,193,7
1,664,193,7
1,671,193,7
1,582,194,7
1,588,194,7
1,697,194,7
1,701,194,7
1,578,195,7
1,669,195,7
1,687,195,7
1,689,196,7
1,704,196,7
1,668,197,7
1,694,198,7
1,538,199,7
1,577,199,7
1,685,199,7
1,690,199,7
1,573,200,7
1,575,200,7
1,608,200,7
1,635,200,7
1,670,200,7
1,697,201,7
1,683,202,7
1,658,203,7
1,672,203,7
1,641,204,7
1,537,205,7
1,691,206,7
1,662,208,7
1,535,209,7
1,655,209,7
1,685,209,7
1,692,209,7
1,657,210,7
1,681,211,7
1,685,211,7
1,540,212,7
1,565,212,7
1,537,213,7
1,535,216,7
1,683,216,7
1,691,216,7
1,559,217,7
1,562,217,7
1,686,219,7
1,612,221,7
1,639,221,7
1,584,222,7
1,634,222,7
1,663,222,7
1,665,222,7
1,675,225,7
1,664,227,7
1,675,227,7
1,557,228,7
1,688,230,7
1,694,234,7
1,555,235,7
1,549,236,7
1,545,240,7
1,560,242,7
1,563,242,7
1,679,242,7
1,685,242,7
1,543,243,7
1,678,245,7
1,686,245,7
1,708,245,7
1,558,246,7
1,566,246,7
1,705,246,7
1,682,247,7
1,694,248,7
1,536,250,7
1,552,250,7
1,612,251,7
1,617,251,7
1,567,253,7
1,617,253,7
1,694,253,7
1,698,253,7
1,693,268,7
1,696,279,7
1,544,281,7
1,550,285,7
1,541,297,7
1,708,304,7
1,685,327,7
1,683,329,7
2,610,180,7
2,616,180,7
2,625,180,7
2,629,180,7
2,632,180,7
2,650,180,7
2,606,181,7
2,613,181,7
2,623,181,7
2,627,181,7
2,700,181,7
2,610,182,7
2,616,182,7
2,652,182,7
2,538,183,7
2,541,183,7
2,597,183,7
2,613,183,7
2,632,183,7
2,661,184,7
2,668,184,7
2,672,184,7
2,698,184,7
2,703,184,7
2,541,185,7
2,610,185,7
2,616,185,7
2,619,186,7
2,622,186,7
2,633,186,7
2,656,186,7
2,661,186,7
2,667,186,7
2,594,187,7
2,631,187,7
2,637,187,7
2,672,187,7
